"","TRAP","createdBy","Date","Type","AllNotes","Source","DescriptionOfMoundOrLocale","LU_Around","LU_Top","Latitude","Longitude","Northing","Easting","Accuracy","FacingDirectionForPhoto","HeightMax","DiameterMax","HeightMin","DiameterMin","OtherDimension","AssociatedFeatureOrMaterial","SurfaceMaterialDescription","SampleCollected","ChronologyEstimate","AssociatedFeatureOrMaterialPhoto","Condition","DamageNotes","PrincipalSourceOfImpact","OtherSourcesOfImpact","ArchaeologicalPotential","MostRecentDamageWhat","MostRecentDamageWithin","RTDescription","CommentsAndRecommendations","CRMPhotos","geospatialcolumn"
"12",9510,"Vera Dolezalkova",NA,"Burial Mound","grassland,grassland,photo numbers 7 and 8","Legacy verification",NA,"Pasture","Pasture",42.40430314,26.13168499,4695032.272,428544.9661,3,"Northwest",3,"20",1.3,16,NA,NA,NA,"No",NA,NA,"2 - minor damage","","Animal activity",NA,"1 - full","Animal activity","Last month",NA,NA,NA,"POINT(428544.966109 4695032.271881)"
"13",9511,"Vera Dolezalkova",NA,"Burial Mound","grassland,grassland,15-19","Legacy verification",NA,"Pasture","Pasture",42.40461911,26.13133157,4695067.654,428516.2413,3,"Northwest",2,"17",NA,14,NA,"Stone wall (krepis) - Other (Daub)","Stone circle of large boulder with diameter of 5m visible in the trench in the centre of the mound","No",NA,"files/app/7a9cc9d1-3b40-488c-8eb8-e98e1db59d04_image-1505023598730.original.jpg","4 - seriously damaged","","Looting",NA,"4 - minimal","Looting","Last year","Trench oriented east to west 10m in length 3m wide max depth 1.5m trench is divided with standing profile in north south direction. inside the mound, cutting across the trenches is a circle of LG quartz stone boulders CCA 1 m across.",NA,"files/app/01e7ed18-6dcb-468c-bae4-495456f53978_image-1505023693426.original.jpg - files/app/aed6db7f-36aa-4d5a-8d01-bea35f8426c5_image-1505023549918.original.jpg","POINT(428516.241261 4695067.653504)"
"14",9512,"Vera Dolezalkova",NA,"Burial Mound","grassland,grassland,22-36","Legacy verification",NA,"Pasture","Pasture",42.40480866,26.13115114,4695088.852,428501.6085,3,"Northwest",1.2,"20",NA,14.5,NA,"Stone wall (krepis) - Artefact scatter","quartz boulders krepis possible bronze age pottery handmade burnished late bronze greyware prehistoric eBa and bBA pottery eBa is most prominent?","No","early bronze age","files/app/042cca73-187f-4e56-a5df-06152407937b_image-1505025746749.original.jpg - files/app/37404033-99a9-48fb-8a36-11438b2b1582_image-1505024203393.original.jpg","4 - seriously damaged","","Looting",NA,"4 - minimal","Looting","Last year","circular rock formation of 1m quartz boulders Robbers trenches outside main formation, 6.9m by 4.9m",NA,"files/app/19a771f1-ce57-4bb4-9179-dd7dffc9dfb4_image-1505026096013.original.jpg - files/app/c6809ca1-257b-4cda-a7ce-bc5affd1b7cd_image-1505025204046.original.jpg","POINT(428501.608501 4695088.852274)"
"15",8101,"Bara Weissova",NA,"Burial Mound","grassland,grassland,local ridge,irregular due to treasure hunt. lengthened from soil movement during treasure hunt.","Legacy verification",NA,"Pasture","Pasture",42.40266094,26.13346202,4694848.432,428689.3416,3,"East",0.5,"12",NA,10,NA,NA,NA,"No",NA,NA,"5 - extinct or near extinct","","Looting",NA,"5 - none or nearly none","Looting","Unknown",NA,NA,"files/app/ed98df4b-e21b-4933-9c47-d9b56e8e471a_image-1505024656028.original.jpg","POINT(428689.341615 4694848.431896)"
"16",8102,"Bara Weissova",NA,"Burial Mound","camera photo  5 + 6","Legacy verification",NA,"Scrub","Scrub",42.40341649,26.13752645,4694928.924,429024.6733,3,"North",0.5,"20",NA,15,NA,NA,NA,"No",NA,NA,"5 - extinct or near extinct","","Excavation",NA,"5 - none or nearly none","Looting","Unknown",NA,"inside of mound has been excavated",NA,"POINT(429024.673318 4694928.923609)"
"17",8300,"Adela Sobotkova",NA,"Extinct Burial Mound","39-40","Legacy verification",NA,"Annual agriculture","Scrub",42.40069278,26.13347198,4694629.883,428687.9326,3,"South",0.5,"15",NA,11,NA,NA,"Pile of white quartz stone football size in centre of the mound","No",NA,NA,"5 - extinct or near extinct","","Agriculture",NA,"5 - none or nearly none","Agriculture","Unknown","N\A",NA,NA,"POINT(428687.932566 4694629.882916)"
"18",9513,"Vera Dolezalkova",NA,"Burial Mound","light brown soil at top of mound 5x5 metres
photo/114","Legacy verification",NA,"Annual agriculture","Annual agriculture",42.39465764,26.13481875,4693958.626,428791.9442,3,"Southwest",2,"28",1.6,21,NA,NA,NA,"No",NA,NA,"3 - damaged","","Agriculture",NA,"3 - impaired","Agriculture","Last month",NA,NA,NA,"POINT(428791.944199 4693958.625652)"
"19",8301,"Adela Sobotkova",NA,"Burial Mound","41-42","Legacy verification","overgrown mound 1m weeds","Annual agriculture","Scrub",42.39780368,26.13289378,4694309.569,428637.0748,3,"South",2.3,"17",NA,12,NA,NA,NA,"No",NA,NA,"2 - minor damage","","Post-depositional","Minor looting","2 - good","Looting","Unknown","[01, lozenge, 1.5, 0.5, 0.3, very old and overgrown]",NA,"files/app/641d5767-3c81-47c7-8452-7caba1cd3ad6_image-1505028641040.original.jpg","POINT(428637.074831 4694309.569396)"
"20",8103,"Bara Weissova",NA,"Extinct Burial Mound","no mound, just scrub. photo number 7","Legacy verification","overgrown, no visible traces of any mound","Scrub","Scrub",42.40592688,26.13992744,4695205.669,429225.0808,3,"South",0,"0",0,0,NA,NA,NA,"No",NA,NA,"5 - extinct or near extinct","","No observation",NA,"5 - none or nearly none","Unknown","Unknown",NA,NA,NA,"POINT(429225.080824 4695205.66904)"
"21",8104,"Bara Weissova",NA,"Uncertain Mound","","Legacy verification","all scrub.","Scrub","Scrub",42.40836932,26.1390629,4695477.592,429156.6863,3,"East",0,"0",0,0,NA,NA,NA,"No",NA,NA,"5 - extinct or near extinct","","No observation",NA,"No observation","Unknown","Unknown",NA,NA,NA,"POINT(429156.686299 4695477.592247)"
