"","TRAP","createdBy","Date","Type","AllNotes","Source","DescriptionOfMoundOrLocale","LU_Around","LU_Top","Latitude","Longitude","Northing","Easting","Accuracy","FacingDirectionForPhoto","HeightMax","DiameterMax","HeightMin","DiameterMin","OtherDimension","AssociatedFeatureOrMaterial","SurfaceMaterialDescription","SampleCollected","ChronologyEstimate","AssociatedFeatureOrMaterialPhoto","Condition","DamageNotes","PrincipalSourceOfImpact","OtherSourcesOfImpact","ArchaeologicalPotential","MostRecentDamageWhat","MostRecentDamageWithin","RTDescription","CommentsAndRecommendations","CRMPhotos","geospatialcolumn"
"148",8353,"Adela Sobotkova",NA,"Burial Mound","grassland,local maximum","Legacy verification","was  9257, local maximum","Annual agriculture","Pasture",42.50394332,26.53938471,4705833.721,462155.3655,3,"Southwest",3.2,"25",NA,NA,NA,NA,NA,"No",NA,NA,"2 - minor damage","","Looting","agriculture","2 - good","Looting","Unknown","[01,round,4,1,on top in the centre;02,2,1,1,see side]",NA,"files/app/d68bcd80-e55a-4ff9-9adf-2cf0a3ef691d_image-1505289107015.original.jpg","POINT(462155.365455 4705833.720766)"
"149",9559,"Vera Dolezalkova",NA,"Burial Mound","grassland,photo #30","Legacy verification",NA,"Annual agriculture","Pasture",42.39596024,26.09689719,4694135.739,425672.354,3,"East",0.8,"15",NA,15,NA,NA,NA,"No",NA,NA,"3 - damaged","","Agriculture",NA,"4 - minimal","Agriculture","Last year",NA,NA,NA,"POINT(425672.353963 4694135.738917)"
"150",8135,"Bara Weissova",NA,"Burial Mound","grassland,grassland","Legacy verification",NA,"Pasture","Pasture",42.433734,26.65042959,4697994.225,471246.8257,3,"West",1,"25",NA,13,NA,NA,NA,"No",NA,NA,"4 - seriously damaged","","Looting",NA,"5 - none or nearly none","Looting","Unknown","01, rectangle, 35,5,1, manual excavation",NA,"files/app/255a1a0c-bcb6-4ed1-bdb1-10836c5a4cac_image-1505289696590.original.jpg - files/app/58a911b9-6131-4a2b-8224-031aaa3fe786_image-1506165168908.original.jpg","POINT(471246.825745 4697994.224684)"
"151",8136,"Bara Weissova",NA,"Burial Mound","grassland,grassland,mound located on square with point","Legacy verification","Northern edge of mound is dirt road, western edge agricultured, elevation marker on the top","Pasture","Pasture",42.43184224,26.64428467,4697786.268,470740.5076,16,"West",1.8,"45",NA,40,NA,NA,NA,"No",NA,NA,"2 - minor damage","specify in Annotation) (rubbish)","Other",NA,"2 - good","Other","Unknown",NA,"rubbish on east side of mound",NA,"POINT(470740.507581 4697786.267793)"
"152",9560,"Vera Dolezalkova",NA,"Burial Mound","photo#31","Legacy verification",NA,"Annual agriculture","Annual agriculture",42.3882081,26.10022728,4693272.051,425937.3164,3,"East",1.3,"40",NA,40,NA,NA,NA,"No",NA,NA,"3 - damaged","","Agriculture",NA,"4 - minimal","Agriculture","Last year",NA,NA,NA,"POINT(425937.316427 4693272.050786)"
"153",8354,"Adela Sobotkova",NA,"Burial Mound","e.g orchard or vineyard,grassland,#241","Legacy verification",NA,"Perennial agriculture","Pasture",42.50703375,26.55461101,4706170.197,463408.1784,3,"Northeast",1,"20",NA,NA,NA,NA,NA,"No",NA,NA,"2 - minor damage","","Road cut","age and tiny looting(1m shallow hole)","3 - impaired","Infrastructure","Unknown",NA,NA,NA,"POINT(463408.178361 4706170.196633)"
"154",8355,"Adela Sobotkova",NA,"Burial Mound","e.g orchard or vineyard,#242","Legacy verification","200231, new mound","Perennial agriculture","Scrub",42.50733415,26.55450363,4706203.599,463399.5321,3,"North",2,"26",NA,NA,NA,NA,"modern rubble","No",NA,NA,"2 - minor damage","","Other",NA,"2 - good","Urban development","Unknown",NA,"modern construction debris piled on top, picture in the next mound; refuse",NA,"POINT(463399.532079 4706203.599134)"
"155",8137,"Bara Weissova",NA,"Burial Mound","grassland,at the edge of a dam full of water","Legacy verification",NA,"Scrub","Pasture",42.41292503,26.64195044,4695686.559,470539.6489,3,"Southwest",0.3,"20",NA,15,NA,NA,NA,"No",NA,NA,"5 - extinct or near extinct","","Construction",NA,"5 - none or nearly none","Unknown","Unknown",NA,"covered with rubbish, next to dam",NA,"POINT(470539.648914 4695686.559089)"
"156",9561,"Vera Dolezalkova",NA,"Burial Mound","grassland,photo #32-35","Legacy verification",NA,"Annual agriculture","Pasture",42.39400138,26.10688994,4693909.538,426492.5031,3,"East",5,"35",NA,30,NA,NA,NA,"No",NA,NA,"3 - damaged","","Looting",NA,"4 - minimal","Looting","Last year","[01,  circular, 4, 4, 1.6; 02, oblong, 8, 1.5, 0.8; 03, rectangular, 2, 1, 0.6]",NA,"files/app/0d2ef5e3-f0c2-4466-8626-31b1cba0f18b_image-1505292071012.original.jpg - files/app/2a062938-1a13-47de-8719-0afe28c8e601_image-1505292245356.original.jpg - files/app/3c1a64d3-2b35-4e23-8154-c285c979f710_image-1505292654641.original.jpg - files/app/ba2b15a8-dffc-4e8c-a71e-70c83ede26b0_image-1505292155932.original.jpg","POINT(426492.503071 4693909.538426)"
"157",8356,"Adela Sobotkova",NA,"Burial Mound","e.g orchard or vineyard,grassland","Legacy verification",NA,"Perennial agriculture","Pasture",42.50717332,26.55512627,4706185.471,463450.5921,3,"East",2,"26",NA,20,NA,NA,NA,"No","todor thinks Roman",NA,"1 - pristine","","Looting",NA,"1 - full","Looting","Unknown","[01,round,1.5,0.5]",NA,"files/app/50db04b7-a48a-4cd4-aa8d-921ec783d6e4_image-1505292236147.original.jpg","POINT(463450.592052 4706185.471396)"
"158",9562,"Vera Dolezalkova",NA,"Burial Mound","photo#36-37","Legacy verification",NA,"Annual agriculture","Annual agriculture",42.3929786,26.10826665,4693794.781,426604.6222,3,"East",2,"18",NA,14,NA,NA,NA,"No",NA,NA,"3 - damaged","","Looting","agriculture","4 - minimal","Agriculture","Last year","[01,  circular, 4, 3.5, 0.9]",NA,"files/app/b0a9e5c6-5168-4f2e-aa2c-d6ad8bb0b91c_image-1505292996780.original.jpg","POINT(426604.622211 4693794.781267)"
"159",9563,"Vera Dolezalkova",NA,"Other","grassland,photo 38, GPS also taken at the foot of the mound,uncertain height","Legacy verification","settlement mound, height is hard to be determined","Pasture","Scrub",42.38931349,26.11273756,4693383.964,426968.3603,3,"South",10,"100",NA,90,NA,NA,NA,"No",NA,NA,"2 - minor damage","","Post-depositional","tall dense scrub,impossible to climb up","3 - impaired","Not available","Unknown","not possible to explore as the brush and scrub are very dense,impossible to walk through",NA,NA,"POINT(426968.360275 4693383.964234)"
"160",8138,"Bara Weissova",NA,"Extinct Burial Mound","","Legacy verification",NA,"Annual agriculture","Annual agriculture",42.42336052,26.60915487,4696857.181,467846.5544,3,"South",0.3,"40",NA,35,NA,"Artefact scatter","Pottery","No","Roman","files/app/1913d5c7-c012-4a43-9d7c-310ad3d41469_image-1505294687576.original.jpg","5 - extinct or near extinct","","Agriculture",NA,"5 - none or nearly none","Agriculture","Last month",NA,NA,NA,"POINT(467846.554421 4696857.181172)"
"161",8357,"Adela Sobotkova",NA,"Burial Mound","grassland,grassland,#253","Legacy verification","large mound with geodetic marker","Pasture","Pasture",42.50909979,26.57634437,4706390.457,465194.8752,3,"Southeast",3,"32",2,NA,NA,NA,NA,"No",NA,NA,"1 - pristine","","No observation",NA,"1 - full","No observation","Not relevant",NA,NA,NA,"POINT(465194.875234 4706390.457469)"
"162",9564,"Vera Dolezalkova",NA,"Burial Mound","photo#39","Legacy verification",NA,"Annual agriculture","Scrub",42.38453949,26.11649632,4692850.647,427272.2396,3,"North",1.4,"24",NA,20,NA,NA,"some modern holes and animals holes","No",NA,NA,"3 - damaged","","Post-depositional",NA,"3 - impaired","Animal activity","Last year",NA,NA,NA,"POINT(427272.239627 4692850.646958)"
"163",9565,"Vera Dolezalkova",NA,"Burial Mound","photo#40","Legacy verification",NA,"Annual agriculture","Annual agriculture",42.38423405,26.11656827,4692816.671,427277.8098,4,"East",0.5,"20",NA,18,NA,NA,NA,"No",NA,NA,"3 - damaged","","Agriculture",NA,"4 - minimal","Agriculture","Last year",NA,NA,NA,"POINT(427277.809792 4692816.670709)"
"164",9566,"Vera Dolezalkova",NA,"Burial Mound","grassland,photo#41-45","Legacy verification",NA,"Annual agriculture","Pasture",42.38392561,26.11657043,4692782.42,427277.632,3,"South",6,"40",NA,40,NA,NA,NA,"No",NA,NA,"4 - seriously damaged","","Looting",NA,"3 - impaired","Looting","Last year","[01, rectangular, 2.5, 1.5, 2.5, fresh  stratigraphy; 02,  oval, 3.5, 1.5, 1.9, upper stratigraphic layer",NA,"files/app/18580669-8fcd-4964-9c6c-97893dda7d5e_image-1505296147019.original.jpg - files/app/4507f98a-4296-4f37-9dc1-1c06d2bb8946_image-1505296256046.original.jpg - files/app/710e079a-ead2-47ab-90e6-b5821034efa2_image-1505295806319.original.jpg - files/app/ac26022d-2b5c-460c-a68b-46fa9a9eedb9_image-1505313274013.original.jpg","POINT(427277.632017 4692782.41994)"
"165",8139,"Bara Weissova",NA,"Extinct Burial Mound","","Legacy verification","levelled in 70th of the 20th century based on local informant","Annual agriculture","Annual agriculture",42.42389498,26.60477211,4696918.195,467486.276,3,"East",0,"0",0,0,NA,NA,NA,"No",NA,NA,"5 - extinct or near extinct","","Construction",NA,"5 - none or nearly none","Unknown","Unknown",NA,NA,NA,"POINT(467486.276025 4696918.194782)"
"166",8140,"Bara Weissova",NA,"Extinct Burial Mound","grassland,grassland","Legacy verification",NA,"Pasture","Pasture",42.43780573,26.59530396,4698466.478,466714.7315,3,"West",0,"0",0,0,NA,NA,NA,"No",NA,NA,"5 - extinct or near extinct","","Construction",NA,"5 - none or nearly none","Infrastructure","Unknown",NA,NA,NA,"POINT(466714.731518 4698466.478464)"
"167",8358,"Adela Sobotkova",NA,"Extinct Burial Mound","#259-260","Legacy verification","extinct mound with a extensive pottery scatter","Annual agriculture","Annual agriculture",42.50889887,26.56291915,4706373.745,464091.8189,3,"East",0,"0",NA,NA,NA,"Artefact scatter","fw red thin and medium thick walled pottery, lots of red stone, bricks and tile within ashy unit","Yes",NA,"files/app/b68b5ffd-91ac-4c8f-b27e-80e291289bbc_image-1505297784845.original.jpg","5 - extinct or near extinct","","Agriculture",NA,"5 - none or nearly none","Agriculture","Last month",NA,NA,NA,"POINT(464091.818887 4706373.745243)"
"168",9567,"Vera Dolezalkova",NA,"Burial Mound","photo 46","Legacy verification",NA,"Annual agriculture","Annual agriculture",42.38421287,26.13229737,4692800.979,428572.5807,3,"East",0.8,"18",NA,18,NA,NA,NA,"No",NA,NA,"2 - minor damage","","Agriculture",NA,"3 - impaired","Agriculture","Last month",NA,NA,NA,"POINT(428572.580737 4692800.979248)"
"169",8142,"Bara Weissova",NA,"Burial Mound","grassland,grassland","Legacy verification","elevation marker on top","Pasture","Pasture",42.443048,26.600645,NA,NA,3,"West",4,"40",NA,35,NA,NA,NA,"No",NA,NA,"2 - minor damage","","Looting",NA,"2 - good","Looting","Unknown","01,irregular, 4,8,1.5, manual excavation; 02, irregular, 1.5, 0.5, manual excavation; 03,irregular, 2,3, 0.5, manual excavation; 04, irregular, 13,6, 4, likely made by machine; 05, irregular, 10,4, 4, likely made by machine; 06,irregular, 2.5, 0.5, manual excavation",NA,"files/app/3a6f3323-f5bd-4e49-ab52-212f3eccc201_image-1505298760483.original.jpg - files/app/4b1ffadf-077e-405a-970d-8cf49bc38f8e_image-1505308475116.original.jpg","POINT(467084.775578 4698742.866633)"
"170",8359,"Adela Sobotkova",NA,"Uncertain Mound","grassland,#262","Legacy verification","uncertain due to refuse ditch but has a geodetic point","Scrub","Pasture",42.50883206,26.58092907,4706358.857,465571.3818,3,"East",2.5,"23",NA,NA,NA,NA,NA,"No",NA,NA,"1 - pristine","","Post-depositional",NA,"2 - good","Post-depositional","Unknown",NA,NA,NA,"POINT(465571.38175 4706358.857014)"
"171",8143,"Bara Weissova",NA,"Burial Mound","","Legacy verification",NA,"Annual agriculture","Annual agriculture",42.44751947,26.60218398,4699542.395,467285.6518,3,"Southeast",0.8,"50",NA,50,NA,"Loose artefacts",NA,"No","Roman","files/app/2b50adbf-bd5e-4a5f-8538-13d8798d53d0_image-1505300037557.original.jpg","4 - seriously damaged","","Agriculture",NA,"4 - minimal","Agriculture","Last year",NA,NA,NA,"POINT(467285.651755 4699542.395175)"
"172",8144,"Bara Weissova",NA,"Surface Scatter","","Survey",NA,"Annual agriculture","Annual agriculture",42.360651,26.041216,NA,NA,4,"No Observation",0,"0",0,0,NA,"Artefact scatter","pottery scatter - table ware, dolium, kitchen ware, gray ware","No","Roman",NA,"0 - No observation","","Agriculture",NA,"1 - full","Agriculture","Last year",NA,NA,NA,"POINT(421039.335654 4690266.36853)"
"173",9568,"Vera Dolezalkova",NA,"Surface Scatter","","Legacy verification","one amphora handle in the field","Annual agriculture","Annual agriculture",42.344831,26.114811,NA,NA,6,"No Observation",0,"0",NA,NA,NA,"Artefact scatter","only one amphora handle, but there was a less visibility,so there could be a pottery scatter","No",NA,NA,"0 - No observation","","No observation",NA,"No observation","Agriculture","Last month",NA,NA,NA,"POINT(427055.433058 4688425.080278)"
"174",9569,"Vera Dolezalkova",NA,"Burial Mound","photo#1","Legacy verification",NA,"Annual agriculture","Annual agriculture",42.40570617,26.04358574,4695265.919,421296.8326,3,"East",1,"18",NA,15,NA,NA,NA,"No",NA,NA,"3 - damaged","","Agriculture",NA,"4 - minimal","Agriculture","Last year",NA,NA,NA,"POINT(421296.832586 4695265.919268)"
"175",9570,"Vera Dolezalkova",NA,"Burial Mound","grassland,photo#4
white stone spread all over the mound even though there are no RTs visible (40cm ea.)","Legacy verification",NA,"Annual agriculture","Pasture",42.40381993,26.04034342,4695059.484,421027.654,3,"West",2.4,"22",NA,20,NA,NA,NA,"No",NA,NA,"2 - minor damage","","Agriculture","animal impact","3 - impaired","Agriculture","Unknown",NA,NA,NA,"POINT(421027.653989 4695059.484109)"
"176",9571,"Vera Dolezalkova",NA,"Burial Mound","photo#5","Legacy verification",NA,"Annual agriculture","Annual agriculture",42.39944612,26.04066869,4694573.522,421048.9374,3,"Northwest",1.5,"25",NA,20,NA,NA,NA,"No",NA,NA,"3 - damaged","","Agriculture",NA,"4 - minimal","Agriculture","Last month",NA,NA,NA,"POINT(421048.937392 4694573.522278)"
"177",9572,"Vera Dolezalkova",NA,"Burial Mound","photo#7","Legacy verification",NA,"Annual agriculture","Annual agriculture",42.39044311,26.03431941,4693579.765,420515.0389,3,"West",0.8,"19",NA,19,NA,NA,NA,"No",NA,NA,"2 - minor damage","","Agriculture",NA,"3 - impaired","Agriculture","Last month",NA,NA,NA,"POINT(420515.038905 4693579.765189)"
"178",8360,"Adela Sobotkova",NA,"Burial Mound","#273","Survey","south of the road btw Lozenetz and Venetz, not in the map","Annual agriculture","Annual agriculture",42.64050891,26.74048653,4720927.819,478724.5816,3,"East",1.4,"40",1,NA,NA,NA,NA,"No",NA,NA,"3 - damaged","","Agriculture",NA,"3 - impaired","Agriculture","Last month",NA,NA,NA,"POINT(478724.581638 4720927.818736)"
"179",9573,"Vera Dolezalkova",NA,"Burial Mound","24 photo","Legacy verification",NA,"Annual agriculture","Annual agriculture",42.38740711,26.04650085,4693231.333,421513.9163,3,"South",0.9,"15",NA,15,NA,NA,NA,"No",NA,NA,"2 - minor damage","","Agriculture",NA,"3 - impaired","Agriculture","Last week",NA,NA,NA,"POINT(421513.91633 4693231.332679)"
"180",8361,"Adela Sobotkova",NA,"Burial Mound","#274","Survey","possibly excavated mound south of road, not in the map","Annual agriculture","Annual agriculture",42.63943084,26.73783139,4720808.78,478506.5374,3,"Southwest",1.2,"50",NA,NA,NA,NA,NA,"No",NA,NA,"4 - seriously damaged","possibly exvavated),2012 survey of joining gas pipeline)","Excavation","agriculture","4 - minimal (already excavated)","Infrastructure","Unknown",NA,NA,NA,"POINT(478506.537435 4720808.779875)"
"181",9574,"Vera Dolezalkova",NA,"Burial Mound","photo#27","Legacy verification",NA,"Annual agriculture","Annual agriculture",42.38712981,26.0473699,4693199.739,421585.1068,3,"South",2.4,"18",NA,18,NA,NA,NA,"No",NA,NA,"2 - minor damage","","Agriculture",NA,"3 - impaired","Agriculture","Last year",NA,NA,NA,"POINT(421585.106754 4693199.738803)"
"182",8145,"Bara Weissova",NA,"Burial Mound","e.g orchard or vineyard,e.g orchard or vineyard,along Pleistocene lake","Legacy verification","Covered with old vineyard","Perennial agriculture","Perennial agriculture",42.5965278,26.72147963,4716049.069,477150.2832,3,"South",3.5,"60",NA,50,NA,NA,NA,"No",NA,NA,"3 - damaged","","Agriculture",NA,"2 - good","Agriculture","Unknown",NA,NA,NA,"POINT(477150.283247 4716049.069219)"
"183",9575,"Vera Dolezalkova",NA,"Burial Mound","grassland,photo#30","Legacy verification",NA,"Annual agriculture","Pasture",42.38768541,26.04738074,4693261.422,421586.6904,3,"East",2.6,"27",NA,25,NA,NA,NA,"No",NA,NA,"2 - minor damage","","Agriculture",NA,"3 - impaired","Agriculture","Last year",NA,NA,NA,"POINT(421586.690364 4693261.421785)"
"184",9576,"Vera Dolezalkova",NA,"Burial Mound","photo#32","Legacy verification",NA,"Annual agriculture","Annual agriculture",42.3881612,26.04757937,4693314.069,421603.6328,3,"Northwest",0.5,"17",NA,17,NA,NA,NA,"No",NA,NA,"3 - damaged","","Agriculture",NA,"3 - impaired","Agriculture","Last month",NA,NA,NA,"POINT(421603.632848 4693314.068857)"
"185",9577,"Vera Dolezalkova",NA,"Burial Mound","photo#33","Legacy verification",NA,"Annual agriculture","Annual agriculture",42.38867477,26.04766574,4693371.016,421611.3816,3,"Northwest",0.5,"16",NA,16,NA,NA,NA,"No",NA,NA,"2 - minor damage","","Agriculture",NA,"3 - impaired","Agriculture","Last month",NA,NA,NA,"POINT(421611.381556 4693371.015876)"
"186",8146,"Bara Weissova",NA,"Extinct Burial Mound","on the shore of a Pleistocene lake","Legacy verification","Destroyed by agriculture","Annual agriculture","Annual agriculture",42.59699836,26.7190011,4716101.992,476947.1194,3,"South",0,"0",NA,NA,NA,NA,NA,"No",NA,NA,"5 - extinct or near extinct","","Agriculture",NA,"5 - none or nearly none","Agriculture","Last year",NA,NA,NA,"POINT(476947.119423 4716101.991995)"
"187",8362,"Adela Sobotkova",NA,"Burial Mound","e.g orchard or vineyard,#275","Legacy verification","right next to the road","Perennial agriculture","Scrub",42.64089119,26.72826896,4720973.413,477723.0978,3,"East",3.5,"35",3,NA,NA,NA,NA,"No",NA,NA,"3 - damaged","","Road cut",NA,"3 - impaired","Post-depositional","Unknown",NA,"south side cut away due to road",NA,"POINT(477723.097842 4720973.413417)"
"188",8363,"Adela Sobotkova",NA,"Burial Mound","e.g orchard or vineyard,#278","Legacy verification","north of road with geodetic marker","Perennial agriculture","Scrub",42.64204179,26.72737219,4721101.414,477649.9909,3,"Northwest",4,"35",NA,NA,NA,NA,NA,"No",NA,NA,"1 - pristine","","Post-depositional",NA,"1 - full","Animal activity","Unknown",NA,NA,NA,"POINT(477649.990913 4721101.41398)"
"189",9578,"Vera Dolezalkova",NA,"Extinct Burial Mound","photo#37","Legacy verification",NA,"Annual agriculture","Annual agriculture",42.39070847,26.05084543,4693593.905,421875.6324,3,"North",0.2,"0",NA,0,NA,NA,NA,"No",NA,NA,"4 - seriously damaged","","Agriculture",NA,"5 - none or nearly none","Agriculture","Last month",NA,NA,NA,"POINT(421875.632418 4693593.90468)"
"190",9579,"Vera Dolezalkova",NA,"Burial Mound","photo 38","Legacy verification",NA,"Annual agriculture","Annual agriculture",42.39089331,26.05208676,4693613.289,421978.036,3,"North",0.4,"14",NA,13,NA,NA,NA,"No",NA,NA,"3 - damaged","","Agriculture",NA,"4 - minimal","Agriculture","Last month",NA,NA,NA,"POINT(421978.035965 4693613.288801)"
"191",8147,"Bara Weissova",NA,"Burial Mound","grassland,grassland,on the shore of Pleistocene lake","Legacy verification","Used to be vineyard, evidence of poles, Southern side pipe for irrigation, elevation marker on top of mound","Pasture","Pasture",42.5936338,26.73741899,4715723.538,478456.9475,3,"South",3.5,"60",NA,50,NA,NA,NA,"No",NA,NA,"3 - damaged","","Agriculture","animal activity","2 - good","Animal activity","Last month",NA,NA,NA,"POINT(478456.947537 4715723.538442)"
"192",8364,"Adela Sobotkova",NA,"Burial Mound","#280-282","Legacy verification","mound in ploughed field","Annual agriculture","Annual agriculture",42.6425537,26.73592337,4721156.032,478351.1941,3,"East",1.4,"30",NA,NA,NA,NA,"naturally stony soil","No",NA,NA,"3 - damaged","","Agriculture",NA,"3 - impaired","Agriculture","Last month",NA,NA,NA,"POINT(478351.194094 4721156.0323)"
"193",8365,"Adela Sobotkova",NA,"Burial Mound","#283-284","Legacy verification",NA,"Annual agriculture","Annual agriculture",42.64268392,26.73660096,4721170.32,478406.7872,3,"East",1.1,"35",0.5,30,NA,NA,NA,"No",NA,NA,"3 - damaged","","Agriculture",NA,"3 - impaired","Agriculture","Last month",NA,NA,NA,"POINT(478406.787179 4721170.31985)"
"194",9580,"Vera Dolezalkova",NA,"Burial Mound","photo#39","Legacy verification",NA,"Annual agriculture","Annual agriculture",42.39267737,26.0451599,4693817.77,421410.1124,3,"Southwest",0.8,"22",NA,20,NA,NA,NA,"No",NA,NA,"2 - minor damage","","Agriculture",NA,"3 - impaired","Agriculture","Last month",NA,NA,NA,"POINT(421410.112429 4693817.769813)"
"195",8366,"Adela Sobotkova",NA,"Burial Mound","#285-286","Legacy verification","large mound","Scrub","Scrub",42.64304669,26.73733598,4721210.414,478467.169,3,"Northeast",6,"45",NA,NA,NA,NA,NA,"No",NA,NA,"2 - minor damage","specify in Annotation)","Excavation",NA,"2 - good","Other","Unknown","01, lunette,20,4,2.5,old excavation",NA,"files/app/977c01b3-802d-4af3-be0e-831904609dde_image-1505372564707.original.jpg","POINT(478467.168995 4721210.41441)"
"196",8148,"Bara Weissova",NA,"Extinct Burial Mound","on the shore of Pleistocene lake,Looks more like embankment of lake than a burial mound","Legacy verification",NA,"Annual agriculture","Annual agriculture",42.59463523,26.73132482,4715836.307,477957.3135,3,"South",0,"0",NA,0,NA,NA,NA,"No",NA,NA,"5 - extinct or near extinct","","Agriculture",NA,"5 - none or nearly none","Agriculture","Last year",NA,NA,NA,"POINT(477957.313471 4715836.306785)"
"197",8367,"Adela Sobotkova",NA,"Burial Mound","#287","Legacy verification",NA,"Scrub","Scrub",42.6438227,26.73759143,4721296.519,478488.3775,3,"Southwest",2.7,"35",NA,30,NA,NA,NA,"No",NA,NA,"2 - minor damage","","Construction","reservoir incorporated between two mounds, 8366-8367","2 - good","Infrastructure","Unknown",NA,NA,NA,"POINT(478488.377476 4721296.519097)"
"198",9581,"Vera Dolezalkova",NA,"Burial Mound","photo 43","Legacy verification",NA,"Annual agriculture","Annual agriculture",42.40097691,26.05087367,4694734.066,421890.6929,3,"West",0.4,"15",NA,15,NA,NA,NA,"No",NA,NA,"3 - damaged","","Agriculture",NA,"4 - minimal","Agriculture","Last month",NA,NA,NA,"POINT(421890.692864 4694734.065739)"
"199",8368,"Adela Sobotkova",NA,"Burial Mound","#288","Legacy verification","ploughed up mound, extensive","Annual agriculture","Annual agriculture",42.64259988,26.73766079,4721160.718,478493.6421,3,"Southwest",0.5,"25",NA,NA,NA,NA,NA,"No",NA,NA,"4 - seriously damaged","","Agriculture",NA,"4 - minimal","Agriculture","Last month",NA,NA,NA,"POINT(478493.642139 4721160.717564)"
"200",8369,"Adela Sobotkova",NA,"Burial Mound","#289","Legacy verification",NA,"Annual agriculture","Annual agriculture",42.64282251,26.73894843,4721185.112,478599.278,3,"Northeast",1.65,"25",NA,NA,NA,NA,NA,"No",NA,NA,"3 - damaged","","Agriculture",NA,"3 - impaired","Agriculture","Last month",NA,NA,NA,"POINT(478599.278044 4721185.111523)"
"201",8370,"Adela Sobotkova",NA,"Burial Mound","#290","Legacy verification","decent mound with a soilmark","Annual agriculture","Annual agriculture",42.64283427,26.73876516,4721186.464,478584.2578,3,"North",1.8,"30",NA,NA,NA,NA,NA,"No",NA,NA,"2 - minor damage","","Agriculture",NA,"2 - good","Agriculture","Last month",NA,NA,NA,"POINT(478584.257796 4721186.464244)"
"202",8371,"Adela Sobotkova",NA,"Burial Mound","#291","Legacy verification","ploughed up mound in stony field","Annual agriculture","Annual agriculture",42.64350289,26.7392875,4721260.577,478627.3075,3,"Northeast",1.6,"33",NA,NA,NA,"Loose artefacts","Roman tiny sherds","No",NA,NA,"3 - damaged","","Agriculture",NA,"2 - good","Agriculture","Last month",NA,NA,NA,"POINT(478627.30751 4721260.576643)"
"203",8372,"Adela Sobotkova",NA,"Burial Mound","#292","Legacy verification","large mound covered by scrub","Annual agriculture","Scrub",42.64298871,26.73953301,4721203.42,478647.2584,3,"South",6.5,"30",NA,NA,NA,NA,NA,"No",NA,NA,"1 - pristine","","Post-depositional",NA,"1 - full","Post-depositional","Unknown",NA,NA,NA,"POINT(478647.258352 4721203.419731)"
"204",8373,"Adela Sobotkova",NA,"Burial Mound","#298","Legacy verification",NA,"Annual agriculture","Annual agriculture",42.64324732,26.74006741,4721232.001,478691.1562,3,"Northeast",1,"26",NA,NA,NA,"Loose artefacts","Roman base with decoration","Yes",NA,"files/app/6abc4db3-c0db-4446-a3bb-cd13f92f4452_image-1505376013423.original.jpg","3 - damaged","","Agriculture",NA,"3 - impaired","Agriculture","Last month",NA,NA,NA,"POINT(478691.156182 4721232.001351)"
"205",8149,"Bara Weissova",NA,"Burial Mound","","Legacy verification","Mound called Lozenska Mogila","Annual agriculture","Scrub",42.56532207,26.70678897,4712588.046,475933.0677,3,"East",3,"36",NA,30,NA,NA,NA,"No",NA,NA,"4 - seriously damaged","","Looting","animal activity","2 - good","Animal activity","Last year","01,rectangular, 3, 3, 1; 02, rectangular, 4, 2, 0.5; 03, irregular, 2, 3, 0.3; 04, irregular, 20, 5, 4, excavated by machine; 05, irregular, 8, 3, 1","Even though there are a large number of robbers trenches, it does not appear that they reached the grave.","files/app/a5848370-cbe0-456d-a7df-43de9a337544_image-1505376613156.original.jpg - files/app/c57c67d2-8c9b-40cb-87e9-b0c7138445af_image-1505377205451.original.jpg","POINT(475933.067678 4712588.046267)"
"206",8374,"Adela Sobotkova",NA,"Burial Mound","#300","Legacy verification",NA,"Annual agriculture","Annual agriculture",42.64326603,26.74077241,4721233.902,478748.9572,3,"Northeast",1.5,"25",NA,NA,NA,NA,NA,"No",NA,NA,"3 - damaged","","Agriculture",NA,"2 - good","Agriculture","Last month",NA,NA,NA,"POINT(478748.957238 4721233.901604)"
"207",8375,"Adela Sobotkova",NA,"Burial Mound","#301","Legacy verification","RM villa necropolis","Annual agriculture","Annual agriculture",42.64337221,26.74142446,4721245.527,478802.4471,3,"Northeast",1.3,"26",NA,NA,NA,"Loose artefacts","red fw","Yes","Roman?",NA,"3 - damaged","","Agriculture",NA,"3 - impaired","Agriculture","Last month",NA,NA,NA,"POINT(478802.447081 4721245.527444)"
"208",9582,"Vera Dolezalkova",NA,"Burial Mound","photo 45","Legacy verification",NA,"Annual agriculture","Annual agriculture",42.41083273,26.0553341,4695824.347,422269.9411,3,"North",0.4,"18",NA,17,NA,NA,NA,"No",NA,NA,"3 - damaged","","Agriculture",NA,"3 - impaired","Agriculture","Last month",NA,NA,NA,"POINT(422269.94107 4695824.346501)"
