"","TRAP","Source","Type","LU_Around","LU_Top","Date","DiameterMax","DiameterMin","HeightMax","Condition","PrincipalSourceOfImpact"
"110",9044,"Legacy verification","Burial Mound","Scrub","Pasture",2010-10-24,"50",60,"6","5","Looting"
"111",9046,"Survey","Uncertain Mound","Forest","Forest",2010-10-24,"10",10,"1","5","Looting"
"112",9048,"Legacy verification","Extinct Burial Mound","Annual agriculture","Annual agriculture",2010-10-24,"25",25,"0.8","5","Agriculture"
"113",9049,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture",2010-10-24,"50",50,"3","5","Agriculture"
"114",9050,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture",2010-10-24,"40",40,"1.5","5","Agriculture"
"115",9054,"Legacy verification","Burial Mound","Annual agriculture","Pasture",2010-10-25,"35",35,"3.5","2","Agriculture"
"116",9055,"Legacy verification","Burial Mound","Annual agriculture","Pasture/Scrub",2010-10-25,"35",35,"2","2","None"
"117",9056,"Survey","Burial Mound","Annual agriculture","Annual agriculture",2010-10-25,"20",20,"1.2","5","Agriculture"
"118",9057,"Survey","Extinct Burial Mound","Annual agriculture","Annual agriculture",2010-10-25,"15",15,"0.5","5","Agriculture"
"119",9058,"Survey","Extinct Burial Mound","Annual agriculture","Annual agriculture",2010-10-25,"28",30,"0.5","5","Agriculture"
"120",9059,"Survey","Extinct Burial Mound","Annual agriculture","Annual agriculture",2010-10-25,"35",35,"0.5","5","Agriculture"
"121",9060,"Survey","Burial Mound","Annual agriculture","Pasture",2010-10-25,"30",30,"4","4","Looting"
"122",9061,"Legacy verification","Burial Mound","Annual agriculture","Pasture",2010-10-25,"40",50,"1","5","road"
"123",9062,"Survey","Extinct Burial Mound","Annual agriculture","Annual agriculture",2010-10-25,"35",35,"1","5","Agriculture"
"124",9063,"Survey","Uncertain Mound","Annual agriculture","Annual agriculture",2010-10-25,"40",35,"1","5","Agriculture"
"125",9064,"Legacy verification","Burial Mound","Annual agriculture","Pasture",2010-10-25,"60",60,"6","5","Looting"
"126",9065,"Legacy verification","Burial Mound","Pasture","Pasture",2010-10-25,"40",30,"2","5","road"
"127",9066,"Survey","Burial Mound","Annual agriculture","Pasture",2010-10-25,"40",40,"3","5","Looting"
"128",9067,"Legacy verification","Burial Mound","Pasture","Pasture",2010-10-25,"22",22,"1.7","2","Construction"
"129",9068,"Legacy verification","Extinct Burial Mound","Annual agriculture","Annual agriculture",2010-10-26,"40",40,"0.5","5","Agriculture"
"130",9069,"Legacy verification","Burial Mound","Pasture","Scrub",2010-10-26,"30",30,"2","4","Looting"
"131",9070,"Legacy verification","Burial Mound","Pasture/Scrub","Forest",2010-10-26,"30",30,"2 acc to topomap","5","Bioturbation"
"132",9071,"Legacy verification","Extinct Burial Mound","Pasture","Scrub",2010-10-26,"60",30,"2","5","unknown"
"133",9072,"Legacy verification","Burial Mound","Perennial agriculture","Perennial agriculture",2010-10-26,"60",40,"2","5","Agriculture"
"134",9073,"Legacy verification","Burial Mound","Pasture","Pasture/Scrub",2010-10-26,"40",30,"4","4","Looting"
"135",9074,"Survey","Uncertain Mound","Pasture","Pasture",2010-10-26,"20",20,"2","5","Construction"
"136",9075,"Survey","Uncertain Mound","Pasture","Pasture",2010-10-26,"20",20,"2","5","Construction"
"137",9076,"Legacy verification","Burial Mound","Pasture","Scrub",2010-10-26,"80",80,"3","5","Looting"
"138",9077,NA,"Uncertain Mound",NA,NA,2010-10-26,"40",30,"2.5","5",NA
"139",9078,"Legacy verification","Extinct Burial Mound","Annual agriculture","Annual agriculture",2010-10-26,"50",40,"2","5","Agriculture"
"140",9079,"Legacy verification","Burial Mound","Annual agriculture","Scrub",2010-10-26,"30",30,"3","4","Looting"
"141",9080,"Survey","Extinct Burial Mound","Annual agriculture","Annual agriculture",2010-10-26,"60",60,"1.5","5","Agriculture"
"142",9081,"Survey","Uncertain Mound","Annual agriculture","Scrub",2010-10-26,"15",15,"0.5","4","Looting"
"143",9082,"Legacy verification","Burial Mound","Pasture","Pasture",2010-10-26,"30",25,"1.5","3","Construction"
"144",9083,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture",2010-10-26,"50",35,"2","5","Agriculture"
"145",9084,"Survey","Uncertain Mound","Annual agriculture","Annual agriculture",2010-10-26,"35",20,"0.5","5","Agriculture"
"146",9085,"Legacy verification","Extinct Burial Mound","Annual agriculture","Annual agriculture",2010-10-26,"50",35,"0.4","5","Agriculture"
"147",9086,"Legacy verification","Burial Mound","Annual agriculture","Scrub",2010-10-26,"15",10,"2","5","Agriculture"
"148",9087,"Legacy verification","Extinct Burial Mound","Annual agriculture","Annual agriculture",2010-10-26,"30",25,"1","5","Agriculture"
"149",9088,"Legacy verification","Burial Mound","Annual agriculture","Scrub",2010-10-27,"38",38,"4.5","1","Looting"
"150",9089,NA,"Burial Mound",NA,NA,2010-10-27,"15",15,"1","1",NA
"151",9090,NA,"Burial Mound",NA,NA,2010-10-27,"10",10,"0.5","3",NA
"152",9091,NA,"Burial Mound",NA,NA,2010-10-27,"20",15,"1.5","4",NA
"153",9092,NA,"Burial Mound",NA,NA,2010-10-27,"35",25,"2","3",NA
"154",9093,NA,"Burial Mound",NA,NA,2010-10-27,"20",20,"1.5","4",NA
"155",9094,NA,"Burial Mound",NA,NA,2010-10-27,"40",40,"2","4",NA
"156",9095,NA,"Burial Mound",NA,NA,2010-10-27,"30",25,"1.5","3",NA
"157",9096,NA,"Burial Mound",NA,NA,2010-10-27,"40",40,"1.5","3",NA
"158",9097,NA,"Extinct Burial Mound",NA,NA,2010-10-27,"20",10,"2","5",NA
"159",9098,NA,"Uncertain Mound",NA,NA,2010-10-27,"40",40,"0.3","5",NA
"160",9099,NA,"Burial Mound",NA,NA,2010-10-27,"40",40,"6","4",NA
"161",9100,NA,"Burial Mound",NA,NA,2010-10-27,"25",20,"3","3",NA
"162",9101,NA,"Burial Mound",NA,NA,2010-10-27,"20",20,"2","5",NA
"163",9102,NA,"Burial Mound",NA,NA,2010-10-27,"20",20,"1.5","5",NA
"164",9103,NA,"Burial Mound",NA,NA,2010-10-27,"20",20,"1.5","3",NA
"165",9104,NA,"Burial Mound",NA,NA,2010-10-27,"30",25,"3","5",NA
"166",9105,NA,"Burial Mound",NA,NA,2010-10-27,"30",30,"2","5",NA
"167",9106,NA,"Extinct Burial Mound",NA,NA,2010-10-27,"40",40,"0.5","5",NA
"168",9107,NA,"Extinct Burial Mound",NA,NA,2010-10-27,"25",20,"1","5",NA
"169",9108,NA,"Burial Mound",NA,NA,2010-10-27,"30",20,"2","4",NA
"170",9109,NA,"Burial Mound",NA,NA,2010-10-27,"40",40,"1.5","3",NA
"171",9110,"Legacy verification","Burial Mound","Annual agriculture","Scrub",2010-10-27,"60",60,"6","4","Looting"
"172",9111,"Survey","Uncertain Mound","Pasture","Pasture",2010-10-28,"30",20,"4","5","Construction"
"173",9112,"Legacy verification","Extinct Burial Mound","Annual agriculture","Annual agriculture",2010-10-28,"40",40,"1.5","4","Agriculture"
"174",9113,"Legacy verification","Extinct Burial Mound","Annual agriculture","Annual agriculture",2010-10-28,"30",30,"0.8","4","Agriculture"
"175",9114,"Legacy verification","Extinct Burial Mound","Pasture","Pasture",2010-10-28,"30",30,"1.5","4","Agriculture"
"176",9115,"Survey","Extinct Burial Mound","Pasture","Pasture",2010-10-28,"30",30,"1.5","4","Agriculture"
"177",9116,"Survey","Burial Mound","Pasture","Pasture",2010-10-28,"20",20,"0.6","5","Agriculture"
"178",9117,"Legacy verification","Burial Mound","Pasture","Pasture",2010-10-28,"40",20,"1.5","4","Agriculture"
"179",9118,"Survey","Burial Mound","Annual agriculture","Annual agriculture",2010-10-28,"40",40,"1.5","4","Agriculture"
"180",9119,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture",2010-10-29,"35",35,"1","4","Agriculture"
"181",9120,"Survey","Extinct Burial Mound","Annual agriculture","Annual agriculture",2010-10-29,"30",30,"0.5","5","Agriculture"
"182",9121,"Survey","Extinct Burial Mound","Annual agriculture","Annual agriculture",2010-10-29,"30",30,"0.5","5","Agriculture"
"183",9122,"Survey","Extinct Burial Mound","Annual agriculture","Annual agriculture",2010-10-29,"25",25,"0.5","5","Agriculture"
"184",9123,"Legacy verification","Burial Mound","Annual agriculture","Scrub",2010-10-29,"30",30,"2","4","Looting"
"185",9124,"Legacy verification","Burial Mound","Annual agriculture","Scrub",2010-10-29,"25",25,"1.5","5","Looting"
"186",9125,"Legacy verification","Burial Mound","Pasture","Pasture",2010-10-31,"30",20,"1","3","Looting"
"187",9126,"Legacy verification","Burial Mound","Pasture","Pasture",2010-10-31,"40",40,"2.5","4","Looting"
"188",9127,"Legacy verification","Burial Mound","Pasture","Pasture",2010-10-31,"25",25,"2","3","Looting"
"189",9128,"Legacy verification","Burial Mound","Pasture","Pasture",2010-10-31,"28",28,"4.5","5","Looting"
"190",9129,"Survey","Uncertain Mound","Annual agriculture","Annual agriculture",2010-11-01,"50",50,"0.8","5","Agriculture"
"191",9130,"Legacy verification","Burial Mound","Annual agriculture","Scrub",2010-10-31,"25",25,"1.5","2","road"
"192",9131,"Legacy verification","Burial Mound","Pasture","Pasture",2010-10-31,"20",20,"4","3","Looting"
"193",9132,"Legacy verification","Burial Mound","Pasture","Pasture",2010-10-31,"25",25,"2","2","Looting"
"194",9133,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture",2010-10-31,"15",15,"0.8","3","Looting"
"195",9135,"Legacy verification","Burial Mound","Forest","Scrub",2010-10-31,"30",30,"3.5","5","Looting"
"196",9136,"Legacy verification","Burial Mound","Forest","Scrub",2010-10-31,"40",40,"2","2","Looting"
"197",9137,"Legacy verification","Burial Mound","Forest","Scrub",2010-10-31,"50",50,"8","5","Looting"
"198",9138,"Legacy verification","Burial Mound","Pasture","Pasture",2010-10-31,"40",50,"6","5","Looting"
"199",9139,"Legacy verification","Burial Mound","Pasture","Pasture",2010-10-31,"50",50,"7","5","Looting"
"200",9140,"Legacy verification","Burial Mound","Pasture","Pasture/Scrub",2010-11-01,"40",40,"2","5","Looting"
"201",9141,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture",2010-11-01,"25",30,"2","5","Agriculture"
"202",9142,"Survey","Burial Mound","Annual agriculture","Annual agriculture",2010-11-01,"20",20,"1.5","5","Agriculture"
"203",9143,"Survey","Extinct Burial Mound","Annual agriculture","Annual agriculture",2010-11-01,"30",30,"1","5","Agriculture"
"204",9144,"Survey","Burial Mound","Annual agriculture","Annual agriculture",2010-11-01,"30",30,"1","5","Agriculture"
"205",9145,"Survey","Burial Mound","Annual agriculture","Annual agriculture",2010-11-01,"20",20,"1","5","Agriculture"
"206",9146,"Survey","Burial Mound","Annual agriculture","Annual agriculture",2010-11-01,"40",40,"5","5","Agriculture"
"207",9147,"Survey","Extinct Burial Mound","Annual agriculture","Annual agriculture",2010-11-01,"20",20,"0.5","5","Agriculture"
"208",9148,"Survey","Extinct Burial Mound","Annual agriculture","Annual agriculture",2010-11-01,"25",25,"2","5","Agriculture"
"209",9149,"Survey","Extinct Burial Mound","Annual agriculture","Annual agriculture",2010-11-01,"40",40,"1","5","Agriculture"
"210",9150,"Survey","Extinct Burial Mound","Annual agriculture","Annual agriculture",2010-11-01,"40",40,"1","5","Agriculture"
"211",9151,"Survey","Burial Mound","Annual agriculture","Annual agriculture",2010-11-01,"30",30,"3","4","Agriculture"
"212",9152,"Survey","Uncertain Mound","Annual agriculture","Annual agriculture",2010-11-01,"40",40,"1","5","Agriculture"
"213",9153,"Survey","Burial Mound","Annual agriculture","Annual agriculture",2010-11-01,"30",30,"1.5","5","Agriculture"
"214",9154,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture",2010-11-01,"40",40,"4","5","Agriculture"
"215",9155,"Legacy verification","Burial Mound","Pasture","Scrub",2010-11-01,"25",25,"1.5","5","Looting"
"216",9156,"Survey","Burial Mound","Annual agriculture","Pasture/Scrub",2010-11-01,"50",50,"8","4","Looting"
"217",9157,"Legacy verification","Burial Mound","Annual agriculture","Pasture/Scrub",2010-11-01,"30",30,"4","5","Looting"
"218",9158,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture",2010-11-01,"30",30,"2","5","Agriculture"
"219",9159,"Survey","Uncertain Mound","Annual agriculture","Annual agriculture",2010-11-01,"40",40,"0.1","5","Agriculture"
"220",9160,"Survey","Uncertain Mound","Annual agriculture","Annual agriculture",2010-11-01,"40",40,"0.1","5","Agriculture"
"221",9161,"Legacy verification","Burial Mound","Perennial agriculture","Perennial agriculture",2010-11-01,"15",15,"1","5","Agriculture"
"222",9162,"Legacy verification","Burial Mound","Pasture","Pasture/Scrub",2010-11-01,"35",35,"2.5","5","Construction"
"223",9163,"Legacy verification","Burial Mound","Pasture","Pasture/Scrub",2010-11-01,"30",30,"2.5","5","Looting"
"224",9164,"Survey","Burial Mound","Pasture","Pasture/Scrub",2010-11-01,"35",35,"2","5","Looting"
"225",9165,"Legacy verification","Burial Mound","Pasture","Pasture/Scrub",2010-11-01,"40",40,"6","4","Looting"
"226",9166,"Legacy verification","Burial Mound","Pasture","Pasture",2010-11-03,"30",30,"5","3","Construction"
"227",9167,"Survey","Uncertain Mound","Annual agriculture","Annual agriculture",2010-11-04,"40",40,"1","4","Agriculture"
"228",9168,"Survey","Uncertain Mound","Pasture","Pasture",2010-11-04,"35",20,"1.7","2","Construction"
"229",9169,"Survey","Burial Mound","Pasture","Pasture",2010-11-04,"40",35,"2.5","2","Construction"
"230",9170,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture",2010-11-04,"50",50,"0.8","5","Agriculture"
"231",9171,"Legacy verification","Burial Mound","Pasture","Pasture/Scrub",2010-11-04,"40",40,"2","4","Agriculture"
"232",9172,"Survey","Burial Mound","Pasture","Pasture/Scrub",2010-11-04,"30",30,"3","5","Agriculture"
"233",9173,"Survey","Burial Mound","Pasture","Pasture/Scrub",2010-11-04,"25",25,"2.5","2","Agriculture"
"234",9174,"Legacy verification","Burial Mound","Annual agriculture","Pasture/Scrub",2010-11-04,"35",35,"2.5","3","Agriculture"
"235",9175,"Legacy verification","Burial Mound","Annual agriculture","Pasture/Scrub",2010-11-04,"40",40,"5","1","Agriculture"
"236",9177,"Legacy verification","Burial Mound","Pasture","Pasture",2010-11-04,"45",45,"1.7","4","Looting"
"237",9178,"Legacy verification","Extinct Burial Mound","Annual agriculture","Annual agriculture",2010-11-04,"50",50,"0.4","5","Agriculture"
"238",9179,"Legacy verification","Burial Mound","Pasture","Pasture",2010-11-04,"50",50,"5","2","Looting"
"239",9180,"Legacy verification","Burial Mound","Pasture","Pasture/Scrub",2010-11-04,"40",40,"3","2","Agriculture"
"240",9181,"Legacy verification","Burial Mound","Pasture","Scrub",2010-11-04,"60",60,"4","2","Anthropogenic"
"241",9182,"Survey","Uncertain Mound","Annual agriculture","Annual agriculture",NA,"25",25,"1.8","5","Agriculture"
"242",9183,"Survey","Uncertain Mound","Annual agriculture","Annual agriculture",NA,"20",20,"1.2","5","Agriculture"
"243",9184,"Legacy verification","Extinct Burial Mound","Annual agriculture","Annual agriculture",NA,"35",35,"1.5","5","Agriculture"
"244",9185,"Survey","Uncertain Mound","Annual agriculture","Annual agriculture",NA,"30",30,"1.5","5","Agriculture"
"245",9186,"Survey","Extinct Burial Mound","Annual agriculture","Annual agriculture",NA,"20",20,"1.5","5","Agriculture"
"246",9187,"Survey","Uncertain Mound","Annual agriculture","Annual agriculture",NA,"25",25,"1","5","Agriculture"
"247",9188,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture",NA,"30",20,"1.8","5","Agriculture"
