"","TRAP","Source","Type","LU_Around","LU_Top","Date","DiameterMax","DiameterMin","HeightMax","Condition","PrincipalSourceOfImpact","TopoID","Note","X","Y","geometry"
"18",8038,"RS:SITE","Extinct Burial Mound","Annual agriculture","Pasture",2009-11-24,"30",20,"0.3","4","Excavation/Looted?",0,"DM:Possible - completely robbes/excavated  mound
",476694.95,4681621.7682,c(476694.95, 4681621.7682)
"19",8039,"RS:FNEG","Burial Mound","Scrub","Scrub",2009-11-24,"40",50,"2","2","Looting",200693,"Med sized mound",476318.6462,4682130.8083,c(476318.6462, 4682130.8083)
"20",8041,"RS:SITE","Burial Mound","Pasture","Scrub",2009-11-24,"50",50,"4.5","2","Looting",200692,"recorded in RS 2009",475945.1152,4681468.5108,c(475945.1152, 4681468.5108)
"21",8043,"RS:SITE","Burial Mound","Scrub","Scrub",2009-11-24,"50",50,"8","2","Development",200695,"Kirilovite mogili",477177.521,4682041.2711,c(477177.521, 4682041.2711)
"22",8044,"RS:SITE","Burial Mound","Annual agriculture","Pasture",2009-11-24,"30",25,"1.5","3","Agriculture",200690,"Chervenite mogili, RS2009",478172.56,4681668.5087,c(478172.56, 4681668.5087)
"23",8045,"RS:FNEG","Burial Mound","Annual agriculture","Annual agriculture",2009-11-24,"20",15,"1","5","Agriculture",0,"MND:Small mound
",478123.7216,4681659.9195,c(478123.7216, 4681659.9195)
"24",8046,"RS:SITE","Burial Mound","Annual agriculture","Annual agriculture",2009-11-24,"30",20,"1.5","4","Agriculture",0,"MND:Small mound",478097.8658,4681652.5977,c(478097.8658, 4681652.5977)
"25",8047,"RS:SITE","Extinct Burial Mound","Annual agriculture","Pasture",2009-11-24,"20",20,"0.5","5","Military| Agriculture",200689,"Chervenite mogili, RS2009",478066.1396,4681595.5893,c(478066.1396, 4681595.5893)
"26",8048,"RS:FNEG","Burial Mound","Scrub","Pasture",2009-11-24,"30",30,"6","1","Development",0,"MND:Lg mound",478003.7813,4682575.8646,c(478003.7813, 4682575.8646)
"27",8049,"RS:FNEG","Burial Mound","Pasture","Pasture",2009-11-24,"30",30,"4","1","Development",200697,"recorded in RS2009, erroneously labeled 8021",478090.8489,4682598.3336,c(478090.8489, 4682598.3336)
