TRAP,Area,Source,Type,TypeCertainty,LanduseAround,LanduseOnTop,Date,DiameterMax_m,HeightMax_m,Condition,PrincipalSourceOfImpact,TopoID,TopoNote,AllNotes,DistTown_m,DistTownBoundary_m,AsterElev_m,AsterSlope_degrees,AsterAspect,AsterTRI,AsterTPI,AsterRoughness,Prominence250m_percent,DistBG_m,AKB,AKBNotes,SpatialDuplicate,PairedID,Upto2010,Post2010,Easting,Northing
9419,Drazhevo,Legacy verification,Burial Mound,Certain,Annual agriculture,Scrub,2010-11-07,25,4.5,2,Nodata,200097,NA,N-W from th mound was found mill stone. S-E slope of the mound was pedoturbation,828.4068850328529,828.4068850328529,198.3328399658203,2.313172679806441,71.8330610897451,0.7416114807128906,-0.086528778076171875,2.338104248046875,8.24,61932.217219755876,10001375,NA,Unique,NA,Yes,Yes,4708062.5046999995,455387.4025999997
9420,Kabile,Legacy verification,Burial Mound,Certain,Pasture,Pasture,2010-11-07,30,3.5,1,Nodata,200098,NA,NA,543.5852147040983,543.5852147040983,196.8352508544922,2.203153218649855,217.46345643533925,1.420492172241211,1.3887386322021484,3.0539398193359375,50.73,61937.404328145545,10001449,NA,Unique,NA,Yes,Yes,4708227.272600001,456123.56010000035
9423,Kabile,Legacy verification,Burial Mound,Certain,Annual agriculture,Pasture,2010-11-07,60,12,1,Nodata,200099,NA,NA,306.72732004800474,306.72732004800474,182.7588348388672,0.4022251292333939,137.53251603198478,1.4305191040039063,1.4305191040039063,2.382080078125,21.3,61456.81969142441,10001451,NA,Unique,NA,Yes,Yes,4707887.039899999,456857.7268000003
9324,Kabile,Legacy verification,Burial Mound,Certain,Annual agriculture,Annual agriculture,2010-11-07,40,1.8,3,Agriculture,200100,NA,ploughed over,773.1072766133793,773.1072766133793,145.35540771484375,3.7701363128013727,166.44040200314626,1.5583686828613281,-0.027820587158203125,4.848724365234375,97.1,61146.63141753061,10001446,NA,Unique,NA,Yes,Yes,4707849.207699999,458343.15020000003
9400,Galabintsi,Legacy verification,Burial Mound,Certain,Annual agriculture,Annual agriculture,2017-09-20,55,1.8,2,Agriculture,200115,Kočomova mogila,"photos 6,7",1830.9637182131873,1830.9637182131873,156.88792419433594,4.049743316991292,327.67532476682817,1.796865463256836,1.3800792694091797,5.5848236083984375,24.64,59058.747040967086,10001216,NA,Unique,NA,Yes,Yes,4699462.755799999,440587.1913999999
9402,Galabintsi,Legacy verification,Burial Mound,Certain,Annual agriculture,Annual agriculture,2010-11-06,35,1.5,5,Agriculture,200116,NA,ploughed over,2085.502955410061,2085.502955410061,156.95594787597656,3.3516381024192365,252.8160130039653,1.795064926147461,1.7896595001220703,3.572265625,27.7,57488.84411810026,10001218,NA,Unique,NA,Yes,Yes,4698189.6861000005,441532.58910000045
9401,Galabintsi,Legacy verification,Burial Mound,Certain,Annual agriculture,Annual agriculture,2010-11-06,30,1,5,Agriculture,200117,NA,ploughed over,1644.1042871973589,1644.1042871973589,152.02252197265625,1.2610930794581745,109.95775073508982,1.046173095703125,0.11449813842773438,3.3642730712890625,0.72,58393.1749786764,10001217,NA,Unique,NA,Yes,Yes,4698799.491599999,440761.6189000001
9110,Galabintsi,Legacy verification,Burial Mound,Certain,Annual agriculture,Scrub,2010-10-27,60,6,4,Looting,200118,NA,lot of holes done by animals; Bara:looting in the last decade,691.8021392240706,691.8021392240706,164.17962646484375,1.8524004929815303,123.07334643385127,0.88396453857421875,0.2630195617675781,2.97314453125,62.5,58199.07889699413,10001212,NA,Unique,NA,Yes,Yes,4698117.5053,439942.41640000045
9404,Boyadzhik,Legacy verification,Burial Mound,Certain,Pasture,Pasture,2010-11-06,20,1.5,4,Looting,200119,NA,modern structure - tap surrounded by lozenge; Bara:some strange concrete structure on the top,2525.9122755448734,2525.9122755448734,150.33157348632813,2.9930081163802034,257.4878922559606,1.6282634735107422,-1.0977764129638672,4.256622314453125,17.99,56237.83296458901,10001220,NA,Unique,NA,Yes,Yes,4697076.959899999,442104.89919999987
9407,Boyadzhik,Legacy verification,Burial Mound,Certain,Annual agriculture,Pasture,2010-11-06,35,2,5,Construction,200120,NA,"moder constructure - square, pedoturbace; Bara:possibly used for military activities",928.2950545456655,928.2950545456655,159.38119506835938,1.8127664528986918,201.23301280828156,1.2408485412597656,0.78777313232421875,4.7204132080078125,77.14,54569.310024792314,10001273,NA,Unique,NA,Yes,Yes,4695457.608100001,442620.1701999996
9406,Boyadzhik,Legacy verification,Burial Mound,Certain,Annual agriculture,Annual agriculture,2010-11-06,50,1.5,5,Agriculture,200121,NA,"destroyed by agriculture, 2 waves - but one mound; Bara:ploughed over",1357.8005331068528,1357.8005331068528,160.26148986816406,0.576032934645062,215.63952978681033,0.8621711730957031,0.77342987060546875,2.1693267822265625,26.98,55190.088624267264,10001272,NA,Unique,NA,Yes,Yes,4695904.1009,442144.1582000004
9078,Boyadzhik,Legacy verification,Extinct Burial Mound,Certain,Annual agriculture,Annual agriculture,2010-10-26,50,2,5,Agriculture,200122,karayvagova mogyla,"destroyed by agriculture, 2 thracian shards, 1 point of scatter of thracian pottery western from the mound; Bara:entirely ploughed over",1082.0302363048586,1082.0302363048586,164.40773010253906,0.7619195482576105,65.12833658176186,1.0607681274414063,-1.0607681274414063,1.7855224609375,13.98,54437.39939463213,10001266,NA,Unique,NA,Yes,Yes,4694176.2629,440662.7273000004
9082,Boyadzhik,Legacy verification,Burial Mound,Certain,Pasture,Pasture,2010-10-26,30,1.5,3,Construction,200127,NA,in the middle monument of Soviet army; Bara:in the middle monument of Soviet army,66.16662859478136,66.16662859478136,190.2705078125,1.0694211955180166,329.50737540582406,0.4521751403808594,0.00286865234375,1.7194976806640625,60.79,52222.45500619236,10001270,NA,Unique,NA,Yes,Yes,4692894.231899999,442848.20720000006
9339,Mezhda,Legacy verification,Burial Mound,Certain,Pasture,Pasture,2010-11-11,20,1.5,2,Looting,200129,NA,"STILL UNCERTAIN!This point was 9239 a duplicate with 9239 in 200373. Turned out to be a typo of 9339 , and changed thus. 200129 added to record",746.7062532786018,746.7062532786018,235.54737854003906,5.913814508538923,215.10835605494017,2.3215885162353516,0.35945701599121094,7.7578887939453125,9.71,51515.878292435424,10010049,NA,Unique,NA,Yes,Yes,4689523.7074,438907.8975999998
9072,Mezhda,Legacy verification,Burial Mound,Certain,Perennial agriculture,Perennial agriculture,2010-10-26,60,2,5,Agriculture,200130,NA,vineyard; Bara:in an old vineyard - could there still be something?,983.1808351424334,983.1808351424334,226.18495178222656,5.421747419214017,215.72994311722346,2.199674606323242,1.4376087188720703,6.576446533203125,60,51856.27843446057,10001341,NA,Unique,NA,Yes,Yes,4689613.5605,438449.9584999997
9341,Mezhda,Legacy verification,Burial Mound,Certain,Pasture,Scrub,2010-11-11,40,4,4,Looting,200131,NA,soil mixed up,831.7949382400603,831.7949382400603,262.76739501953125,2.2829890507247965,126.23650319952047,0.83629608154296875,0.11627197265625,3.302093505859375,76.45,50200.28593543758,10001354,NA,Unique,NA,Yes,Yes,4689097.2238,440595.1842
9340,Mezhda,Legacy verification,Burial Mound,Certain,Forest,Scrub,2010-11-11,20,1,5,Bioturbation (forest),200135,NA,"all the soil mixed up, without any special shape, pile of soil in the E part",677.9177424886536,677.9177424886536,238.69427490234375,0.5805174527679926,111.00560748882727,1.12677001953125,0.9552764892578125,2.943115234375,64.39,50261.3426492596,10001353,NA,Unique,NA,Yes,Yes,4688732.995999999,439961.72780000046
9073,Mezhda,Legacy verification,Burial Mound,Certain,Pasture,Scrub,2010-10-26,40,4,4,Looting,200136,NA,on the top of the hill,135.37613217094767,135.37613217094767,227.57444763183594,2.643197740496737,197.94331885146354,1.8538570404052734,1.8538570404052734,4.02020263671875,57.91,51008.463689490505,10001342,NA,Unique,NA,Yes,Yes,4688872.453500001,438872.2045
9076,Mezhda,Legacy verification,Burial Mound,Certain,Pasture,Scrub,2010-10-26,80,3,5,Looting,200137,NA,"on the top of the hill, land around was upside down, destroyed by the robbers; Bara:three deep RTs reaching 2 meters",274.1702971259823,274.1702971259823,220.61094665527344,4.967445506247819,268.8171197631336,1.6849079132080078,-0.46473121643066406,4.59619140625,13.09,51128.685338974065,10001343,NA,Unique,NA,Yes,Yes,4688908.8267,438717.96669999976
9044,Botevo,Legacy verification,Burial Mound,Certain,Scrub,Pasture,2010-10-24,50,6,5,Looting,200142,NA,"thracian mound according to filling, inside stones, looks like grave; Bara:large structure inside, burial chamber opened and looted",1191.375727294205,1191.375727294205,296.257080078125,1.8466754346879426,297.247737491388,2.1728973388671875,1.9708480834960938,4.56182861328125,89.96,47141.201753496534,10001403,NA,Unique,NA,Yes,Yes,4688621.291099999,445612.35670000035
9043,Botevo,Legacy verification,Burial Mound,Certain,Scrub,Scrub,2010-10-24,30,1.5,5,Looting,200143,NA,top of the hill in dense forest; Bara:a large RT on the top,1115.032529853897,1115.032529853897,297.38720703125,6.636287266239152,173.97025138748836,2.9411849975585938,2.3729705810546875,8.833709716796875,94.98,46977.7696354702,10000925,NA,Unique,NA,Yes,Yes,4688495.399599999,445721.6936999997
9023,Botevo,Legacy verification,Burial Mound,Certain,Annual agriculture,Annual agriculture,2010-10-23,30,2,5,Agriculture,200145,NA,entirely ploughed over,1064.7646229784502,1064.7646229784502,205.49903869628906,2.4025683043894603,144.82832199640572,1.7956695556640625,1.4485244750976563,4.377197265625,77.01,45636.63950229451,10000919,NA,Unique,NA,Yes,Yes,4687614.3224,446895.2355000004
9037,Botevo,Legacy verification,Burial Mound,Certain,Pasture,Pasture,2010-10-24,32,2.5,1,None,200147,NA,"stones, 37 x 20; Bara:big stones on the top",491.3941521112254,491.3941521112254,208.0069122314453,1.6370426512991494,88.32969873457603,0.67034149169921875,-0.6668853759765625,2.1297149658203125,32.01,45898.87552462918,10000921,NA,Unique,NA,Yes,Yes,4688366.846999999,447748.4051000001
9040,Botevo,Survey,Burial Mound,Uncertain,Annual agriculture,Pasture,2010-10-24,30,2.2,1,Agriculture,200148,NA,"stones, 35 x 30; Bara:dirt road leads right next to the mound, fence at the bottom",633.0380224689793,633.0380224689793,205.1904296875,2.1317044385393324,293.86198366450515,1.2882080078125,-1.0743484497070313,3.2957000732421875,61.51,45754.85139520601,10000924,NA,Unique,NA,Yes,Yes,4688287.329700001,447908.24710000027
9349,Botevo,Legacy verification,Burial Mound,Certain,Pasture,Pasture,2010-11-12,40,2.5,2,Looting,200149,NA,"stones on the top, probably from the trench; Bara:kota taken away by looting",2687.7275151173003,2687.7275151173003,188.69012451171875,0.9791587672957336,241.32458780825843,0.9028472900390625,0.8464469909667969,2.525482177734375,56.23,44172.13699325642,10001399,NA,Unique,NA,Yes,Yes,4687620.7378,450139.4857000001
9346,Botevo,Legacy verification,Burial Mound,Certain,Annual agriculture,Annual agriculture,2010-11-12,40,2,3,Agriculture,200150,NA,small fragments of pottery around; Bara:soil mark on the top,2580.467005404843,2580.467005404843,130.58595275878906,2.395040204334237,168.7932754240144,0.9941825866699219,0.4073028564453125,3.969757080078125,38.85,44593.30718201502,10001409,NA,Unique,NA,Yes,Yes,4688313.3684,450640.45380000025
9344,Botevo,Legacy verification,Burial Mound,Certain,Pasture,Pasture,2010-11-12,30,1.5,2,Looting,200151,NA,NA,1956.5762728169707,1956.5762728169707,141.9083251953125,5.695937294791681,58.178340838933174,1.8991432189941406,-0.12491989135742188,6.9947509765625,53.05,45463.35576333291,10001407,NA,Unique,NA,Yes,Yes,4689141.625700001,450361.40020000003
9342,Botevo,Legacy verification,Burial Mound,Certain,Pasture,Pasture,2010-11-12,40,1.7,4,Agriculture,200152,NA,"medieval pottery around but doesn't seem to be from the mound (CW,…); Bara:ploughed over at some point, in the steep slope",1776.0872403617132,1776.0872403617132,159.40853881835938,2.690149132089725,17.21557816994236,1.4244728088378906,1.0710334777832031,4.5561065673828125,92.93,45613.27478302129,10001405,NA,Unique,NA,Yes,Yes,4689234.804300001,450202.4912999999
9019,Botevo,Legacy verification,Burial Mound,Certain,Pasture,Pasture,2010-10-23,20,1,5,Looting,200154,NA,probably robbed and again covered with soil; Bara:probably dug out and soil put back again,587.3954174646218,587.3954174646218,178.44090270996094,2.830513592077193,166.99735413350658,1.0574531555175781,-0.0911102294921875,4.188262939453125,78.14,48587.920539844796,10000914,NA,Unique,NA,Yes,Yes,4690868.9712000005,446733.73610000033
9018,Botevo,Legacy verification,Burial Mound,Certain,Pasture,Pasture,2010-10-23,35,1.5,5,Looting,200155,NA,trench with stones - Roman?; Bara:trench with five large stones,439.047376074719,439.047376074719,181.2855224609375,3.664153263584483,99.50930270143243,1.3412704467773438,0.878021240234375,3.35833740234375,79.5,48395.14992527784,10000913,NA,Unique,NA,Yes,Yes,4690750.6461,446925.9896999998
9020,Botevo,Legacy verification,Extinct Burial Mound,Certain,Pasture,Pasture,2010-10-23,50,1.5,5,Agriculture,200156,NA,"destroyed by agriculture, hard to distinguish measures; Bara:entirely ploughed over",573.2274213014645,573.2274213014645,175.07249450683594,4.0691678298707785,117.73422609896863,2.3597469329833984,-2.1734142303466797,5.295654296875,30.82,48490.73201377466,10000915,NA,Unique,NA,Yes,Yes,4690894.7443,446998.8454999998
9016,Botevo,Legacy verification,Extinct Burial Mound,Certain,Annual agriculture,Annual agriculture,2010-10-23,30,0.3,5,Agriculture,200157,NA,destroyed by agriculture; Bara:entirely ploughed over,646.5822232261693,646.5822232261693,161.58375549316406,7.642668012744026,332.71746091171025,3.87158203125,3.658550262451172,8.96923828125,77.17,48271.57074983451,10000911,NA,Unique,NA,Yes,Yes,4691140.785499999,447994.7257000003
9015,Botevo,Legacy verification,Extinct Burial Mound,Certain,Annual agriculture,Annual agriculture,2010-10-23,50,0.5,5,Agriculture,200158,NA,"destroyed by agriculture, Yavor - originally was diam 30, h.1.5 m; Bara:entirely ploughed over",778.4319665058365,778.4319665058365,160.7325439453125,4.349565321497247,57.22084214609522,1.5475425720214844,1.1336860656738281,4.8544921875,58.42,48425.25207455949,10000910,NA,Unique,NA,Yes,Yes,4691237.176000001,447840.5379999997
9017,Botevo,Legacy verification,Burial Mound,Certain,Pasture,Pasture,2010-10-23,40,1.8,5,road,200159,NA,dirt road cut the mound in the middle; Bara:dirt road leads over the mound,712.0536703699281,712.0536703699281,167.2276153564453,0.8143172813791523,339.27932276544755,1.207406997680664,-1.207406997680664,3.3632049560546875,76.34,48343.870101844805,10000912,NA,Unique,NA,Yes,Yes,4691051.4958999995,447644.32540000044
9355,Roza,Legacy verification,Burial Mound,Certain,Annual agriculture,Annual agriculture,2010-11-12,30,1,4,Agriculture,200160,NA,0; Bara:geodetic point on top,980.2559447175194,980.2559447175194,153.5324249267578,2.0203602018244236,340.28712538201944,0.9212913513183594,0.270904541015625,2.9941558837890625,10.75,48686.74121240006,10001228,NA,Unique,NA,Yes,Yes,4692524.4266,450064.25179999974
9083,Bolyarsko,Legacy verification,Burial Mound,Certain,Annual agriculture,Annual agriculture,2010-10-26,50,2,5,Agriculture,200163,NA,iron construction on the top; Bara:entirely ploughed over,952.4862601225262,952.4862601225262,158.45010375976563,2.3798095540065782,64.3918227784285,0.7948036193847656,-0.026157379150390625,2.41778564453125,31.9,53705.80249229193,10000903,NA,Unique,NA,Yes,Yes,4696373.417099999,446351.8633000003
9085,Bolyarsko,Legacy verification,Extinct Burial Mound,Certain,Annual agriculture,Annual agriculture,2010-10-26,50,0.4,5,Agriculture,200164,NA,destroyed by agriculture; Bara:entirely ploughed over,449.37558497823005,449.37558497823005,154.94224548339844,5.482646503793993,69.86016120839183,1.8020648956298828,-0.6252231597900391,6.365020751953125,3.26,54667.155457689245,10000904,NA,Unique,NA,Yes,Yes,4697164.942299999,445773.6560000004
9087,Bolyarsko,Legacy verification,Extinct Burial Mound,Certain,Annual agriculture,Annual agriculture,2010-10-26,30,1,5,Agriculture,200167,NA,shrubs on it; Bara:entirely ploughed over,398.1199160337567,398.1199160337567,152.59033203125,7.4098378915384755,65.76183703519487,2.7202529907226563,1.9195747375488281,8.113067626953125,26.45,53845.63459852302,10000906,NA,Unique,NA,Yes,Yes,4697571.4778,448774.6149000004
9086,Bolyarsko,Legacy verification,Burial Mound,Certain,Annual agriculture,Scrub,2010-10-26,15,2,5,Agriculture,200168,NA,well 1 x 1 x 1 in the middle; Bara:succumbs to agriculture,410.3399962336035,410.3399962336035,147.02481079101563,3.447261719365975,317.2902061062224,1.474142074584961,1.2599544525146484,5.151123046875,53.76,54530.52735830081,10000905,NA,Unique,NA,Yes,Yes,4698052.7742,448139.9491999997
9174,Bezmer,Legacy verification,Burial Mound,Certain,Annual agriculture,Scrub,2010-11-04,35,2.5,3,Agriculture,200172,NA,Necropolis Bezmer,498.831709014123,498.831709014123,190.77500915527344,2.3221307396957265,105.05769897579084,0.8481254577636719,0.0419921875,2.857025146484375,59.64,57954.56359157536,2700133,NA,Unique,NA,Yes,Yes,4702877.945599999,451410.2142000003
9171,Bezmer,Legacy verification,Burial Mound,Certain,Pasture,Scrub,2010-11-04,40,2,4,Agriculture,200173,NA,"Necropolis, Bezmer",313.4719780970368,313.4719780970368,196.26010131835938,4.989486826108889,83.25903411530314,1.7385444641113281,0.5001792907714844,5.753326416015625,68.46,58070.821079195375,2700134,NA,Unique,NA,Yes,Yes,4702941.210200001,451225.2363999998
9170,Bezmer,Legacy verification,Burial Mound,Certain,Annual agriculture,Annual agriculture,2010-11-04,50,0.8,5,Agriculture,200174,NA,"Ploughed over at some point. Necropolis, Bezmer",80.46844016771207,80.46844016771207,208.44818115234375,2.1371962182643056,49.79415173694876,1.8829498291015625,1.8829498291015625,4.7415924072265625,24.73,58280.855344935844,2700137,NA,Unique,NA,Yes,Yes,4703083.442299999,450980.9406000003
9175,Bezmer,Legacy verification,Burial Mound,Certain,Annual agriculture,Scrub,2010-11-04,40,5,1,Agriculture,200175,NA,"Necropolis, Bezmer",74.53214987883504,74.53214987883504,205.92735290527344,1.978099858807516,150.78610345291943,1.3627052307128906,1.2451362609863281,3.8636322021484375,60.93,59003.61828838978,2700132,NA,Unique,NA,Yes,Yes,4703804.8661,450863.4715
9177,Bezmer,Legacy verification,Burial Mound,Certain,Pasture,Pasture,2010-11-04,45,1.7,4,Looting,200177,NA,"robers trench 4x3x1.5 and 1/4 of mound taken by fencing, also a marker on top.; Bara:fence on W, marker on top",596.7640182482061,596.7640182482061,235.84945678710938,4.614721522052656,239.82068363045028,1.6521129608154297,0.12304115295410156,5.911224365234375,15.64,59930.697139361066,10001442,NA,Unique,NA,Yes,Yes,4704401.731699999,449710.8847000003
9180,Bezmer,Legacy verification,Burial Mound,Certain,Pasture,Scrub,2010-11-04,40,3,2,Agriculture,200178,NA,NA,345.82170743359865,345.82170743359865,203,2.032412652655594,203.07098263148032,0.9291534423828125,0.7183380126953125,3.320770263671875,14.18,59394.42997869711,2700141,NA,Unique,NA,Yes,Yes,4704691.2029,452435.1286000004
