TRAP,Source,Type,LU_Around,LU_Top,Date,DiameterMax,DiameterMin,HeightMax,Condition,PrincipalSourceOfImpact
7015,survey,Burial Mound,Annual agriculture,Pasture,2009-11-05,18,,1,3,Post-depositional
7016,survey,Burial Mound,Annual agriculture,Scrub,2009-11-06,35,,5,2,Looting
7017,survey,Burial Mound,Annual agriculture,Annual agriculture,2009-11-07,45,,1,3?,Agriculture
7018,survey,Uncertain Mound,Annual agriculture,Scrub,2009-11-09,12,,0.7,5,Agriculture
7021,survey,Burial Mound,Annual agriculture,Annual agriculture,2009-11-13,25,,3,3?,Agriculture
7022,survey,Burial Mound,Annual agriculture,Annual agriculture,2009-11-13,20,,2,3?,Agriculture
8000,survey,Burial Mound,Annual agriculture,Pasture,2009-10-12,50,,6,2,Looting
8004,survey,Burial Mound,Scrub,Pasture,2009-10-12,46,,7,1,Post-depositional
8006,survey,Burial Mound,Annual agriculture,Pasture,2009-10-13,37,,6,1,Post-depositional
8007,survey,Burial Mound,Pasture,Pasture,2009-10-20,15,,4.5,1,Post-depositional | Development
8008,survey,Burial Mound,Annual agriculture,Annual agriculture,2009-10-21,20,,4,5,Agriculture
8009,survey,Burial Mound,Annual agriculture,Annual agriculture,2009-10-21,16,,4,4,Agriculture
8010,survey,Burial Mound,Annual agriculture,Annual agriculture,2009-10-27,30,,3,4,Agriculture
8013,survey,Burial Mound,Annual agriculture,Annual agriculture,2009-11-13,35,,0.5,5,Agriculture
8014,survey,Burial Mound,Annual agriculture,Annual agriculture,2009-11-13,35,,1,4,Agriculture
8015,survey,Burial Mound,Annual agriculture,Annual agriculture,2009-11-13,40,,1.1,4,Agriculture | Development
8017,survey,Burial Mound,Pasture,Scrub,2009-11-14,30,,3,4,Looting
6030,survey,Burial Mound,Pasture,Scrub,2010-10-22,34,,4,2,Looting
8051,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,NA,35,,2,3,Looting
8056,Legacy verification,Burial Mound,Pasture,Pasture,NA,40,,4.5,2,Looting
8057,Legacy verification,Burial Mound,Forest,Scrub,NA,35,,1.8,2,Looting
8058,Legacy verification,Burial Mound,Pasture,Pasture,NA,25,,1.5,1,Looting
8059,Survey,Burial Mound,Pasture,Pasture,NA,30,,1.5,1,Looting
8060,Legacy verification,Burial Mound,Pasture,Scrub,NA,40,,1.5,5,Looting
9013,Survey,Burial Mound,Pasture,Pasture,NA,24,,2,2,Looting
9014,Survey,Burial Mound,Pasture,Scrub,NA,13,,2,5,Looting
9015,Legacy verification,Extinct Burial Mound,Annual agriculture,Annual agriculture,NA,50,,0.5,5,Agriculture
9016,Legacy verification,Extinct Burial Mound,Annual agriculture,Annual agriculture,NA,30,,0.3,5,Agriculture
9017,Legacy verification,Burial Mound,Pasture,Pasture,NA,40,,1.8,5,road
9018,Legacy verification,Burial Mound,Pasture,Pasture,NA,35,,1.5,5,Looting
9019,Legacy verification,Burial Mound,Pasture,Pasture,NA,20,,1,5,Looting
9020,Legacy verification,Extinct Burial Mound,Pasture,Pasture,NA,50,,1.5,5,Agriculture
9021,Survey,Extinct Burial Mound,Annual agriculture,Annual agriculture,NA,25,,1.5,5,Agriculture
9022,Legacy verification,Burial Mound,Annual agriculture,Pasture,NA,30,,1.5,3,Looting
9023,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,NA,30,,2,5,Agriculture
9025,Survey,Burial Mound,Pasture,Scrub,NA,25,,2,3,Bioturbation
9026,Legacy verification,Burial Mound,Pasture,Scrub,NA,35,,1.5,1,None
9027,Legacy verification,Burial Mound,Pasture,Scrub,NA,40,,4,1,Bioturbation
9028,Legacy verification,Burial Mound,Annual agriculture,Pasture,NA,40,,8,3,Looting
9029,Survey,Burial Mound,Annual agriculture,Pasture,NA,40,,8,4,Looting
9030,Legacy verification,Burial Mound,Annual agriculture,Pasture,NA,60,,7,5,Looting
9037,Legacy verification,Burial Mound,Pasture,Pasture,NA,32,,2.5,1,None
9038,Survey,Burial Mound,Pasture,Scrub,NA,25,,2.0,4,Looting
9039,Legacy verification,Extinct Burial Mound,Annual agriculture,Annual agriculture,NA,15,,0.4,5,Agriculture
9040,Survey,Uncertain Mound,Annual agriculture,Pasture,NA,30,,2.2,1,Agriculture
9042,Survey,Surface Scatter,Pasture,Pasture,NA,50,,0.1,5,Construction
9043,Legacy verification,Burial Mound,Scrub,Scrub,NA,30,,1.5,5,Looting
9044,Legacy verification,Burial Mound,Scrub,Pasture,NA,50,,6,5,Looting
9046,Survey,Uncertain Mound,Forest,Forest,NA,10,,1,5,Looting
9048,Legacy verification,Extinct Burial Mound,Annual agriculture,Annual agriculture,NA,25,,0.8,5,Agriculture
9049,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,NA,50,,3,5,Agriculture
9050,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,NA,40,,1.5,5,Agriculture
9054,Legacy verification,Burial Mound,Annual agriculture,Pasture,NA,35,,3.5,2,Agriculture
9055,Legacy verification,Burial Mound,Annual agriculture,Scrub,NA,35,,2,2,None
9056,Survey,Burial Mound,Annual agriculture,Annual agriculture,NA,20,,1.2,5,Agriculture
